"island","site","GenSp","abundance"
"kauai","kauai_01","Scaptomyza evexa",1
"kauai","kauai_01","Disenochus sulcipennis",4
"kauai","kauai_01","Volucella apicale",5
"kauai","kauai_01","Sarcophaga gressitti",1
"kauai","kauai_01","Anaphothrips swezeyi",1
"kauai","kauai_01","Nesomartis psammophila",3
"kauai","kauai_01","Monomorium monomorium",2
"kauai","kauai_01","Acizzia uncatoides",1
"kauai","kauai_01","Ilburnia rubescens",1
"kauai","kauai_01","Xylocopa sonorina",6
"kauai","kauai_01","Oliarus swezeyi",5
"kauai","kauai_01","Eudonia oxythyma",1
"kauai","kauai_01","Plagithmysus obscurus",1
"kauai","kauai_01","Apanteles trifasciatus",3
"kauai","kauai_01","Anotylus nitidifrons",5
"kauai","kauai_01","Nysius communis",2
"kauai","kauai_01","Hyposmocoma new species 19",1
"kauai","kauai_01","Hypothenemus pubescens",1
"kauai","kauai_01","Hyposmocoma chilonella",1
"kauai","kauai_01","Drosophila curtitarsus",6
"kauai","kauai_01","Hyposmocoma brevistrigata",1
"kauai","kauai_01","Cerapachys biroi",1
"kauai","kauai_01","Drosophila milolii",1
"kauai","kauai_01","Phoracantha semipunctata",7
"kauai","kauai_01","Plusia chalcites",3
"kauai","kauai_01","Oliarus immaculatus",4
"kauai","kauai_01","Xyletobius lineatus apicalis",2
"kauai","kauai_01","Frankliniella schultzei",1
"kauai","kauai_01","Oodemas leiothorax",3
"kauai","kauai_01","Leptocera abdominiseta",4
"kauai","kauai_01","Cephalops chauliosternum",4
"kauai","kauai_01","Nabis silvestris",5
"kauai","kauai_01","Eumecochemes oceanicus",1
"kauai","kauai_01","Udea argoscelis",2
"kauai","kauai_01","Exillis lepidus",2
"kauai","kauai_01","Coleotichus blackburniae",2
"kauai","kauai_01","Phlyctaenia argoscelis",3
"kauai","kauai_01","Proterhinus anthracias",2
"kauai","kauai_01","Hawaiodillo sharpi",1
"kauai","kauai_01","Pseudocaecilius criniger",4
"kauai","kauai_01","Ischnaspis longirostris",2
"kauai","kauai_01","Eriococcus coccineus",2
"kauai","kauai_01","Nesothoe seminigrofrons",5
"kauai","kauai_01","Scaptomyza anechocerca",1
"kauai","kauai_01","Lynchia nigra",1
"kauai","kauai_01","Pipunculus juvator",2
"kauai","kauai_01","Mesothriscus truncatus",1
"kauai","kauai_01","Neoscona theisi",1
"kauai","kauai_01","Lobopterella dimidiatipes",3
"kauai","kauai_01","Gryllodes sigillatus",3
"kauai","kauai_01","Tachypompilus analis",2
"kauai","kauai_01","Stator pruininus",3
"kauai","kauai_01","Hylaeus connectens",1
"kauai","kauai_01","Polytus mellerborgi",3
"kauai","kauai_01","Hypenodes altivolans",2
"kauai","kauai_01","Apterocyclus honoluluensis",4
"kauai","kauai_01","Orphinus terminalis",1
"kauai","kauai_01","Oodemas pulchrum",1
"kauai","kauai_01","Ganaspis xanthopoda",1
"kauai","kauai_01","Holothrips pictus",2
"kauai","kauai_01","Echidnophaga gallinacea",4
"kauai","kauai_01","Hevaheva perkinsi",5
"kauai","kauai_01","Teleogryllus oceanicus",4
"kauai","kauai_01","Gaurax bicoloripes",1
"kauai","kauai_01","Deilephila nerii",1
"kauai","kauai_01","Metrarga obscura",3
"kauai","kauai_01","Camponotus variegatus",2
"kauai","kauai_01","Leptogryllus nigromaculatus",4
"kauai","kauai_01","Synthesiomyia nudiseta",1
"kauai","kauai_01","Adoretus sinicus",4
"kauai","kauai_01","Thyrocopa gigas",5
"kauai","kauai_01","Pontia rapae",1
"kauai","kauai_01","Argocerus subguttatus",3
"kauai","kauai_01","Leptogenys falcigera",2
"kauai","kauai_01","Pollenia rudis",1
"kauai","kauai_01","Eucymatoge orichloris",4
"kauai","kauai_01","Oodemas graciliforme",1
"kauai","kauai_01","Echthromorpha agrestoria fuscator",1
"kauai","kauai_01","Archips postvittana",3
"kauai","kauai_01","Asterolecanium robustum",2
"kauai","kauai_01","Drosophila musaphilia",4
"kauai","kauai_01","Proterhinus nigricans",2
"kauai","kauai_01","Canaceoides angulatus",4
"kauai","kauai_01","Omiodes accepta",2
"kauai","kauai_01","Euchromius ocelleus",3
"kauai","kauai_01","Nesodynerus eludens",1
"kauai","kauai_01","Scaptomyza hamata",3
"kauai","kauai_01","Saissetia hemisphaerica",2
"kauai","kauai_01","Udea psychropa",4
"kauai","kauai_01","Tapinella formosana",4
"kauai","kauai_01","Philonthus scybalarius",1
"kauai","kauai_01","Dyscritomyia nigerrima",2
"kauai","kauai_01","Aloha myoporicola",4
"kauai","kauai_01","Conura petioliventris",2
"kauai","kauai_01","Tempyra biguttula",3
"kauai","kauai_01","Sarcophaga dux",1
"kauai","kauai_01","Entomobrya mauna",2
"kauai","kauai_01","Xyleborus rugatus",3
"kauai","kauai_01","Spheterista infaustana",1
"kauai","kauai_01","Oliarus orono",1
"kauai","kauai_01","Cardiocondyla emeryi",3
"kauai","kauai_01","Eurynogaster emarginata",2
"kauai","kauai_01","Blackburnia elegans",1
"kauai","kauai_01","Carposina new species 07",3
"kauai","kauai_01","Prosthetochaeta fasciata",4
"kauai","kauai_01","Blackburnia atra",4
"kauai","kauai_01","Theridion perkinsi",1
"kauai","kauai_01","Dryophthorus gravidus",2
"kauai","kauai_01","Diadegma insularis",1
"kauai","kauai_01","Semanotus amethystinus",1
"kauai","kauai_01","Polypedilum nubiferum",3
"kauai","kauai_01","Xyleborus kauaiensis",1
"kauai","kauai_01","Proterhinus squalidus",4
"kauai","kauai_01","Leucostoma simplex",2
"kauai","kauai_01","Nesiomiris elongatus",1
"kauai","kauai_01","Trigonidium malela",4
"kauai","kauai_01","Hyposmocoma cincta",1
"kauai","kauai_01","Anomalochrysa viridis",2
"kauai","kauai_01","Smeringopus elongatus",2
"kauai","kauai_01","Genaparlatoria pseudaspidiotus",1
"kauai","kauai_01","Agrotis dislocata",1
"kauai","kauai_01","Swezeyana elongagena",1
"kauai","kauai_01","Anchotefflus elegans",1
"kauai","kauai_01","Drosophila glabriapex",1
"kauai","kauai_01","Muscina stabulans",1
"kauai","kauai_01","Peregrinus maidis",3
"kauai","kauai_01","Caryedon serratus",3
"kauai","kauai_01","Aphis craccivora",1
"kauai","kauai_01","Metromenus pavidus",1
"kauai","kauai_01","Dichromothrips corbetti",1
"kauai","kauai_01","Ceropsilopa coquilletti",7
"kauai","kauai_01","Euconocephalus nasutus",5
"kauai","kauai_01","Isotoma ahiehie",3
"kauai","kauai_01","Ochetellus glaber",3
"kauai","kauai_01","Eurynogaster pulverea",3
"kauai","kauai_01","Cyclodinus mundulus",2
"kauai","kauai_01","Saicella usingeri",2
"kauai","kauai_01","Atractomorpha sinensis",3
"kauai","kauai_01","Thrips nigropilosus",4
"kauai","kauai_01","Cirphis amblycasis",2
"kauai","kauai_01","Misumenops junctus",1
"kauai","kauai_01","Theridion acutitarse",1
"kauai","kauai_01","Cryptotermes brevis",1
"kauai","kauai_01","Ferrisia virgata",2
"kauai","kauai_01","Proisotoma centralis",3
"kauai","kauai_01","Diestota parva",2
"kauai","kauai_01","Ptycta persimilis",1
"kauai","kauai_01","Pycnophion molokaiensis",2
"kauai","kauai_01","Trioza lehua",2
"kauai","kauai_01","Antianthe expansa",3
"kauai","kauai_01","Sulamita lunalilo",1
"kauai","kauai_01","Mirosternus testaceus",2
"kauai","kauai_01","Aphis gossypii",2
"kauai","kauai_01","Xyletobius nuptus kauaiensis",2
"kauai","kauai_01","Araneus theisi",1
"kauai","kauai_01","Acyrthosiphon pisum",6
"kauai","kauai_01","Mirosternus montanus",2
"kauai","kauai_01","Philodoria neraudicola",5
"kauai","kauai_01","Nabis tarai",3
"kauai","kauai_01","Dicyrtoma madestris",2
"kauai","kauai_01","Micromus drepanoides",3
"kauai","kauai_01","Anthicus floralis",2
"kauai","kauai_01","Spodoptera mauritia acronyctoides",2
"kauai","kauai_01","Omiodes monogona",2
"kauai","kauai_01","Hyposmocoma discella",7
"kauai","kauai_01","Chersodromia dissita",2
"kauai","kauai_01","Cryptoblabes gnidiella",3
"kauai","kauai_01","Aumakua omaomao",1
"kauai","kauai_01","Eurynogaster paludis",1
"kauai","kauai_01","Agrotis diplosticta",4
"kauai","kauai_01","Scatella sexnotata",3
"kauai","kauai_01","Euseius haramotoi",1
"kauai","kauai_01","Scaptomyza inermis",6
"kauai","kauai_01","Anomalochrysa deceptor",3
"kauai","kauai_01","Scotorythra trachyopis",3
"kauai","kauai_01","Holcobius diversus",2
"kauai","kauai_01","Hyposmocoma nigrodentata",1
"kauai","kauai_01","Megalagrion williamsoni",2
"kauai","kauai_01","Cardiocondyla nuda",1
"kauai","kauai_01","Hylemya cilicrura",5
"kauai","kauai_01","Copestylum apicale",4
"kauai","kauai_01","Platyptilia littoralis",1
"kauai","kauai_01","Nesocymus calvus",5
"kauai","kauai_01","Oodemas oblongum",3
"kauai","kauai_01","Oehserchestes arboriger",2
"kauai","kauai_01","Hyposmocoma carnea",4
"kauai","kauai_01","Iridomyrmex humile",4
"kauai","kauai_01","Xystrocera globosa",1
"kauai","kauai_01","Argyrodes argyrodes",1
"kauai","kauai_01","Nesiomiris waimeae",1
"kauai","kauai_01","Ravinia lherminieri",6
"kauai","kauai_01","Sarona saltator",1
"kauai","kauai_01","Hoplothrips swezeyi",2
"kauai","kauai_01","Vanessa atalanta",4
"kauai","kauai_01","Symploce pallens",3
"kauai","kauai_01","Scatella warreni",1
"kauai","kauai_01","Megachile umbripennis",1
"kauai","kauai_01","Mauia satelles",1
"kauai","kauai_01","Philodoria nigrelloides",4
"kauai","kauai_01","Isotoma trispinata",2
"kauai","kauai_01","Hylaeus laetus",3
"kauai","kauai_01","Echmepteryx madagascariensis",7
"kauai","kauai_01","Platynus ambiens",3
"kauai","kauai_01","Cephalops euryhymenos",2
"kauai","kauai_01","Drosophila malele",2
"kauai","kauai_01","Anthonomus eugenii",3
"kauai","kauai_01","Plagithmysus concolor munroi",6
"kauai","kauai_01","Baliothrips minutus",2
"kauai","kauai_01","Mesothriscus alternans",5
"kauai","kauai_01","Palistreptus microvalvus",2
"kauai","kauai_01","Mesothriscus opacus",2
"kauai","kauai_01","Nausibius clavicornis",1
"kauai","kauai_01","Omiodes localis",1
"kauai","kauai_01","Lithurgus scabrosus",1
"kauai","kauai_01","Angitia blackburni",1
"kauai","kauai_01","Scoparia thyellopis",1
"kauai","kauai_01","Sigmatineurum napali",4
"kauai","kauai_01","Copestylum tamaulipanum",2
"kauai","kauai_01","Epiphyas postvittana",4
"kauai","kauai_01","Hyposmocoma phantasmatella",2
"kauai","kauai_01","Lycosa kalukanai",1
"kauai","kauai_01","Parandra puncticeps",2
"kauai","kauai_01","Hyposmocoma phalacra",3
"kauai","kauai_01","Ornithoica vicina",2
"kauai","kauai_01","Scoparia ianthes",2
"kauai","kauai_01","Eccoptocera new species 1",2
"kauai","kauai_01","Hyposmocoma quadripunctata",2
"kauai","kauai_01","Thaneroclerus buqueti",2
"kauai","kauai_01","Eurynogaster mediocris",4
"kauai","kauai_01","Nipaecoccus aurilanatus",5
"kauai","kauai_01","Orthoea vincta",2
"kauai","kauai_01","Anomis noctivolans",1
"kauai","kauai_01","Gonatocerus californicus",4
"kauai","kauai_01","Hypoponera punctatissima",2
"kauai","kauai_01","Enarmonia walsinghamii",1
"kauai","kauai_01","Nysius hardyi",5
"kauai","kauai_01","Hyposmocoma arundinicolor",5
"kauai","kauai_01","Campsicnemus platystylatus",4
"kauai","kauai_01","Pararrhaptica chlorippa",1
"kauai","kauai_01","Deinomimesa cognata",5
"kauai","kauai_01","Pauahiana maculatipennis",2
"kauai","kauai_01","Bradleyella thoracina",1
"kauai","kauai_01","Dactylosternum dispar",1
"kauai","kauai_01","Trupanea crassipes",2
"kauai","kauai_01","Platyptilia fuscicornis",4
"kauai","kauai_01","Paratrigonidium pacificum",1
"kauai","kauai_01","Epitrix hirtipennis",2
"kauai","kauai_01","Donaceus nigrotarsus",1
"kauai","kauai_01","Myllaena vicina",6
"kauai","kauai_01","Oodemas purpurascens",2
"kauai","kauai_01","Hyperomyzus lactucae",1
"kauai","kauai_01","Heteropsylla huasachae",1
"kauai","kauai_01","Scotorythra euryphaea",7
"kauai","kauai_01","Lepinotus reticulatus",3
"kauai","kauai_01","Hyposmocoma subaurata",1
"kauai","kauai_01","Chirothrips fulvus",4
"kauai","kauai_01","Orchidophilus aterrimus",1
"kauai","kauai_01","Schrankia simplex",6
"kauai","kauai_01","Bembidion perkinsi",1
"kauai","kauai_01","Orthellia caesarion",5
"kauai","kauai_01","Trigonidium huapala",4
"kauai","kauai_01","Enicospilus orbitalis",4
"kauai","kauai_01","Proterhinus deceptor",2
"kauai","kauai_01","Oodemas flexirostre",1
"kauai","kauai_01","Crocidosema plebejana",5
"kauai","kauai_01","Proisotoma nigromaculosa",1
"kauai","kauai_01","Tetragnatha pilosa",1
"kauai","kauai_01","Odynerus lipocharis",1
"kauai","kauai_01","Diaspis boisduvalii",3
"kauai","kauai_01","Drosophila atroscutellata",6
"kauai","kauai_01","Xyleborinus saxeseni",2
"kauai","kauai_01","Mecaphesa anguliventris",3
"kauai","kauai_01","Carposina viridis",1
"kauai","kauai_01","Argocerus similaris",2
"kauai","kauai_01","Symplecta pilipes",2
"kauai","kauai_01","Drosophila wahihuna",5
"kauai","kauai_01","Gnatholymnaeum blackburni",3
"kauai","kauai_01","Anoplius toluca",1
"kauai","kauai_01","Megalagrion eudytum",1
"kauai","kauai_01","Udara blackburni",4
"kauai","kauai_01","Pantomorus cervinus",1
"kauai","kauai_01","Scaptomyza trivittata",1
"kauai","kauai_01","Prognathogryllus giganteus",5
"kauai","kauai_01","Callithmysus microgaster",1
"kauai","kauai_01","Adrapsa manifestalis",3
"kauai","kauai_01","Hyposmocoma lupella",3
"kauai","kauai_01","Bactrocera latifrons",1
"kauai","kauai_01","Hyposmocoma adjacens",3
"kauai","kauai_01","Nesiomiris kauilamahu",1
"kauai","kauai_01","Euodynerus radula",4
"kauai","kauai_01","Trupanea perkinsi",2
"kauai","kauai_01","Pericyma cruegeri",5
"kauai","kauai_01","Folsomia octoculata",4
"kauai","kauai_01","Brontolaemus currax",2
"kauai","kauai_01","Proterhinus gigas",2
"kauai","kauai_01","Pyrausta chloropis",2
"kauai","kauai_01","Cheumatopsyche analis",1
"kauai","kauai_01","Odynerus homochromus",2
"kauai","kauai_01","Diestota aberrans",5
"kauai","kauai_01","Chrysopa microphya",2
"kauai","kauai_01","Atheta dilutipennis",2
"kauai","kauai_01","Hyposmocoma enixa",2
"kauai","kauai_01","Eupithecia orichloris",2
"kauai","kauai_01","Asprothrips seminigricornis",5
"kauai","kauai_01","Psychoda savaiiensis",1
"kauai","kauai_01","Haematobia irritans",1
"kauai","kauai_01","Drosophila ornata",2
"kauai","kauai_01","Enicospilus longicornis",1
"kauai","kauai_01","Polyphagotarsonemus latus",1
"kauai","kauai_01","Neophyllaphis araucariae",8
"kauai","kauai_01","Eurynogaster kauaiensis",2
"kauai","kauai_01","Xylophilus marquesanus",1
"kauai","kauai_01","Spissistilus festinus",2
"kauai","kauai_01","Contarinia maculipennis",1
"kauai","kauai_01","Tetragnatha hawaiensis",1
"kauai","kauai_01","Copromyza equina",5
"kauai","kauai_01","Euwallacea fornicatus",1
"kauai","kauai_01","Mirosternus tetragonus",1
"kauai","kauai_01","Amorbia emigratella",2
"kauai","kauai_01","Desmometopa singaporensis",4
"kauai","kauai_01","Ravinia anxia",2
"kauai","kauai_01","Hyposmocoma new species 25",4
"kauai","kauai_01","Cryphalus sylvicola",2
"kauai","kauai_01","Hylaeus solaris",3
"kauai","kauai_01","Omiodes antidoxa",1
"kauai","kauai_01","Stragania robusta",3
"kauai","kauai_01","Coccophagus lycimnia",1
"kauai","kauai_01","Trioza uniqua",3
"kauai","kauai_01","Dysdera crocota",4
"kauai","kauai_01","Hyposmocoma fugitiva",2
"kauai","kauai_01","Isotomiella minor",2
"kauai","kauai_01","Mesothriscus kauaiensis",2
"kauai","kauai_01","Limnoxenus namolokama",2
"kauai","kauai_01","Thoracophorus blackburni",6
"kauai","kauai_01","Eudonia tyraula",1
"kauai","kauai_01","Progonostola cremnopis",2
"kauai","kauai_01","Glyphodes cyanomichla",3
"kauai","kauai_01","Centrodora xiphidii",3
"kauai","kauai_01","Megastigmus transvaalensis",2
"kauai","kauai_01","Stenolophus quinquepustulatus",3
"kauai","kauai_01","Megastylus flavopictus",3
"kauai","kauai_01","Blastopsylla occidentalis",2
"kauai","kauai_01","Leptogryllus kauaiensis",1
"kauai","kauai_01","Drosophila nasuta",1
"kauai","kauai_01","Lispinodes kauaiensis",3
"kauai","kauai_01","Nesogonia blackburni",2
"kauai","kauai_01","Ceroplastes rubens",4
"kauai","kauai_01","Kauaiina rubropulverula",1
"kauai","kauai_01","Monopis monachella",5
"kauai","kauai_01","Heiroxestis omoscopa",4
"kauai","kauai_01","Nysius nemorivagus",1
"kauai","kauai_01","Necrobia rufipes",3
"kauai","kauai_01","Aeletes kauaiensis",1
"kauai","kauai_01","Tribolium castaneum",1
"kauai","kauai_01","Acanthoscelides obtectus",2
"kauai","kauai_01","Oliarus halemanu",4
"kauai","kauai_01","Lispocephala flexa",2
"kauai","kauai_01","Hyposmocoma fallacella",2
"kauai","kauai_01","Trichomalopsis subaptera",4
"kauai","kauai_01","Acrolepiopsis sapporensis",1
"kauai","kauai_01","Prognathogryllus flavidus",2
"kauai","kauai_01","Sybra alternans",2
"kauai","kauai_01","Reduviolus lusciosus",3
"kauai","kauai_01","Forcipomyia ingrami",2
"kauai","kauai_01","Nesothoe semialba",3
"kauai","kauai_01","Lepidopsocus fasciatus",2
"kauai","kauai_01","Brachycaudus helichrysi",1
"kauai","kauai_01","Drosophila anomalipes",2
"kauai","kauai_01","Odynerus soror",3
"kauai","kauai_01","Scymnus ocellatus",1
"kauai","kauai_01","Taylorilygus pallidulus",4
"kauai","kauai_01","Proterhinus amaurodes",1
"kauai","kauai_01","Eudonia demodes",3
"kauai","kauai_01","Oodemas grande",4
"kauai","kauai_01","Coenosia longipes",3
"kauai","kauai_01","Graptostethus manillensis",3
"kauai","kauai_01","Hawaiodillo danae",6
"kauai","kauai_01","Campsicnemus penicillatus",1
"kauai","kauai_01","Scoparia rhombias",2
"kauai","kauai_01","Cis calidus",2
"kauai","kauai_01","Cryptolestes pusillus",3
"kauai","kauai_01","Mesovelia mulsanti",2
"kauai","kauai_01","Udea chloropis",3
"kauai","kauai_01","Mymar taprobanicum",5
"kauai","kauai_01","Drosophila poonia",3
"kauai","kauai_01","Pompilus luctuosus",3
"kauai","kauai_01","Blackburnia pauma",8
"kauai","kauai_01","Balolina kilaueae",1
"kauai","kauai_01","Xylopsocus castanoptera",5
"kauai","kauai_01","Lepidosaphes flava",4
"kauai","kauai_01","Pagiopalus personatus",3
"kauai","kauai_01","Psammochares luctuosus",1
"kauai","kauai_01","Chrysomphalus dictyospermi",5
"kauai","kauai_01","Blackburnia erythropus",3
"kauai","kauai_01","Banza kauaiensis",3
"kauai","kauai_01","Placopsidella marquesana",1
"kauai","kauai_01","Rhyparobia maderae",3
"kauai","kauai_01","Decadarchis flavistriata",2
"kauai","kauai_01","Zorotypus swezeyi",1
"kauai","kauai_01","Sympiesis sparsus",1
"kauai","kauai_01","Forcipomyia brevis",4
"kauai","kauai_01","Brachydeutera hebes",2
"kauai","kauai_01","Solierella peckhami",2
"kauai","kauai_01","Ethmia nigroapicella",3
"kauai","kauai_01","Nesosydne koae",5
"kauai","kauai_01","Prosopeus omissus",1
"kauai","kauai_01","Neoscona hentzii",4
"kauai","kauai_01","Eupithecia stypheliae",4
"kauai","kauai_01","Colobicus parilis",3
"kauai","kauai_01","Hypena plagiota",3
"kauai","kauai_01","Pulvinaria psidii",2
"kauai","kauai_01","Scaptomyza parva",1
"kauai","kauai_01","Hyposmocoma conditella",4
"kauai","kauai_01","Antrocephalus pertorvus",6
"kauai","kauai_01","Trypoxylon bicolor",6
"kauai","kauai_01","Galumna alata",1
"kauai","kauai_01","Nesothoe pluvialis",8
"kauai","kauai_01","Chilo suppressalis",2
"kauai","kauai_01","Episilia ceramophaea",1
"kauai","kauai_01","Nesodynerus dilatatipes",5
"kauai","kauai_01","Micromus vagus",1
