"GenSp","mass_g"
"Hyposmocoma sagittata",0.0276038627126343
"Hyposmocoma sagittata",0.0269536689707844
"Hyposmocoma sagittata",0.031206021671375
"Hyposmocoma sagittata",0.0264114432077035
"Hyposmocoma sagittat",0.032074540085205
"Hyposmocoma sagittata",0.0327834026209719
"Campsicnemus nigricollis",0.525503067492373
"Campsicnemus nigricollis",0.332040059837936
"Campsicnemus nigricollis",0.567440489119236
"Campsicnemus nigricolli",0.35702175940515
"Campsicnemus nigricollis",0.357226997289155
"Campsicnemus nigricollis",0.392684673615145
