"site","island","final_name","abundance"
"Kauai_01","Kauai","Scotorythra arboricolans",10
"Kauai_01","Kauai","Spolas delicata",2
"Kauai_01","Kauai","Syntormon distortitarsis",12
"Kauai_01","Kauai","Tempyra biguttula",17
"Kauai_01","Kauai","Tenuipalpus pacificus",15
"Kauai_01","Kauai","Thrips hawaiiensis",8
"Kauai_01","Kauai","Thyrocopa brevipalpis",5
"Kauai_01","Kauai","Thyrocopa usitata",9
"Kauai_01","Kauai","Tinostoma smaragditis",15
"Kauai_01","Kauai","Trigonidium flectens",24
"Kauai_01","Kauai","Trigonidium novena",10
"Kauai_01","Kauai","Trigonidium octonalis",5
"Kauai_01","Kauai","Udea calliastra",8
"Kauai_01","Kauai","Xyleborus perforans",6
"Kauai_01","Kauai","Xyleborus vulcanus",12
"Maui_01","Maui","Abanchogastra debilis",4
"Maui_01","Maui","Adelencyrtus odonaspidis",2
"Maui_01","Maui","Aedes albopictus",8
"Maui_01","Maui","Agrotis tephrias",4
"Maui_01","Maui","Aleurothrixus floccosus",6
"Maui_01","Maui","Amblyseius largoensis",10
"Maui_01","Maui","Anax strenuus",2
"Maui_01","Maui","Anisolabis eteronoma",1
"Maui_01","Maui","Aphidius obscuripes",5
"Maui_01","Maui","Araecerus fasciculatus",2
"Maui_01","Maui","Araecerus vieillardi",1
"Maui_01","Maui","Atelothrus limbatus",3
"Maui_01","Maui","Athesapeuta cyperi",8
"Maui_01","Maui","Atheta coriaria",1
"Maui_01","Maui","Athetis thoracica",2
"Maui_01","Maui","Balclutha timberlakei",10
"Maui_01","Maui","Barypristus incendiarius",5
"Maui_01","Maui","Batrachedrodes supercincta",5
"Maui_01","Maui","Brontolaemus currax mauiensis",4
"Maui_01","Maui","Buenoa pallipes",11
"Maui_01","Maui","Campsicnemus ephydrus",1
"Maui_01","Maui","Campsicnemus macula",5
"Maui_01","Maui","Campsicnemus philohydratus",3
"Maui_01","Maui","Canaceoides angulatus",5
"Maui_01","Maui","Cardiocondyla wroughtonii",7
"Maui_01","Maui","Carpophilus maculatus",4
"Maui_01","Maui","Carposina mauii",12
"Maui_01","Maui","Caryedon serratus",2
"Maui_01","Maui","Cephalops titanus",9
"Maui_01","Maui","Cheiracanthium diversum",6
"Maui_01","Maui","Chlorococcus straussiae",3
"Maui_01","Maui","Circulifer tenellus",3
"Maui_01","Maui","Cis immaturus",7
"Maui_01","Maui","Colpodiscus lucipetens",3
"Maui_01","Maui","Cremastus flavoorbitalis",5
"Maui_01","Maui","Cydia plicata",4
"Maui_01","Maui","Diestota occidentalis",5
"Maui_01","Maui","Drosophila disticha",2
"Maui_01","Maui","Drosophila kikkawai",13
"Maui_01","Maui","Drosophila lemniscata",2
"Maui_01","Maui","Drosophila mediana",3
"Maui_01","Maui","Drosophila spectabilis",2
"Maui_01","Maui","Drosophila truncipenna",3
"Maui_01","Maui","Drosophila virilis",4
"Maui_01","Maui","Dyscritomyia grimshawi",4
"Maui_01","Maui","Emperoptera zimmermani",4
"Maui_01","Maui","Entomobrya albocincta",4
"Maui_01","Maui","Ephydra millbrae",12
"Maui_01","Maui","Eupetinus laevigatus",2
"Maui_01","Maui","Eupetinus latimargo",4
"Maui_01","Maui","Eurynogaster spiniger",3
"Maui_01","Maui","Eurynogaster variabilis",4
"Maui_01","Maui","Fannia canicularis",10
"Maui_01","Maui","Forcipomyia hardyi",5
"Maui_01","Maui","Forcipomyia ingrami",1
"Maui_01","Maui","Fornax longicornis",11
"Maui_01","Maui","Gymnochiromyia hawaiiensis",4
"Maui_01","Maui","Heterocrossa atronotata",2
"Maui_01","Maui","Hierodula patellifera",3
"Maui_01","Maui","Hofmannophila pseudospretella",5
"Maui_01","Maui","Hylaeus facilis",15
"Maui_01","Maui","Hyposmocoma bitincta",5
"Maui_01","Maui","Hyposmocoma diffusa",3
"Maui_01","Maui","Hyposmocoma scepticella",2
"Maui_01","Maui","Leialoha mauiensis",13
"Maui_01","Maui","Leucania striata",16
"Maui_01","Maui","Liancalus metallicus",6
"Maui_01","Maui","Lispinodes mauiensis",6
"Maui_01","Maui","Lispocephala ascita",3
"Maui_01","Maui","Lispocephala deceptiva",3
"Maui_01","Maui","Lispocephala pollinosa",2
"Maui_01","Maui","Lispocephala subseminigra",3
"Maui_01","Maui","Lispocephala xanthopleura",6
"Maui_01","Maui","Macrosiphum solanifolii",2
"Maui_01","Maui","Mecaphesa hiatus",2
"Maui_01","Maui","Mecyclothorax rusticus",5
"Maui_01","Maui","Mecyclothorax unctus",2
"Maui_01","Maui","Metaphycus lounsburyi",7
"Maui_01","Maui","Myllaena vicina",1
"Maui_01","Maui","Nabis koelensis",2
"Maui_01","Maui","Neoclytarlus railliardiae",1
"Maui_01","Maui","Neoscatella hawaiiensis",2
"Maui_01","Maui","Neseis ampliata",3
"Maui_01","Maui","Neseis haleakalae",2
"Maui_01","Maui","Nesiomiris cheliferus",4
"Maui_01","Maui","Nesomicromus brunnescens",12
"Maui_01","Maui","Nesosydne blackburni",6
"Maui_01","Maui","Nysius beardsleyi",5
"Maui_01","Maui","Nysius kinbergi",1
"Maui_01","Maui","Nysius longicollis",2
"Maui_01","Maui","Odynerus erythrostactes",2
"Maui_01","Maui","Odynerus nigripennis",4
"Maui_01","Maui","Oeobia heterodoxa",1
"Maui_01","Maui","Oligota glabra",1
"Maui_01","Maui","Omiodes blackburni",2
"Maui_01","Maui","Orthezia insignis",3
"Maui_01","Maui","Pachodynerus nasidens",2
"Maui_01","Maui","Pagiopalus atomarius",6
"Maui_01","Maui","Pararrhaptica perkinsana",9
"Maui_01","Maui","Pectinophora gossypiella",8
"Maui_01","Maui","Pentamerismus oregonensis",8
"Maui_01","Maui","Phaeogramma vittipennis",3
"Maui_01","Maui","Phenacoccus madeirensis",9
"Maui_01","Maui","Philodoria dubauticola",9
"Maui_01","Maui","Phlyctaenia liopis",1
"Maui_01","Maui","Plagithmysus medeirosi",4
"Maui_01","Maui","Plagithmysus simillimus",3
"Maui_01","Maui","Plagithmysus smilacis",6
"Maui_01","Maui","Prognathogryllus kukui",5
"Maui_01","Maui","Proterhinus comes",3
"Maui_01","Maui","Proterhinus haleakalae",16
"Maui_01","Maui","Proterhinus ruficollis",5
"Maui_01","Maui","Proterhinus tuberculiceps",3
"Maui_01","Maui","Psallus luteus",1
"Maui_01","Maui","Remaudiereana nigriceps",5
"Maui_01","Maui","Scaptomyza exigua",3
"Maui_01","Maui","Scaptomyza nasalis",3
"Maui_01","Maui","Scaptomyza pallifrons",10
"Maui_01","Maui","Scatella femoralis",2
"Maui_01","Maui","Scotorythra brunnea",3
"Maui_01","Maui","Sierola mauiensis",2
"Maui_01","Maui","Sigmatineurum nigrum",1
"Maui_01","Maui","Sinella kukae",2
"Maui_01","Maui","Stoeberhinus testaceus",4
"Maui_01","Maui","Syntormon distortitarsis",3
"Maui_01","Maui","Tetragnatha acuta",3
"Maui_01","Maui","Tetragnatha hawaiensis",3
"Maui_01","Maui","Tetragnatha macracantha",4
"Maui_01","Maui","Tetragnatha quasimodo",2
"Maui_01","Maui","Tetramorium tonganum",2
"Maui_01","Maui","Trigonidium pseudokua",2
"Maui_01","Maui","Trigonidium wahoi",6
"Maui_01","Maui","Udea heterodoxa",7
"Maui_01","Maui","Vanessa tameamea",1
"Maui_01","Maui","Vespula pensylvanica",10
"Maui_01","Maui","Xyleborinus saxeseni",1
