"island","site","GenSp","abundance"
"Kauai","Kauai_01","Trigonidium octonalis",5
"Kauai","Kauai_01","Udea calliastra",8
"Kauai","Kauai_01","Xyleborus perforans",6
"Kauai","Kauai_01","Xyleborus vulcanus",12
"Maui","Maui_01","Abanchogastra debilis",4
"Maui","Maui_01","Adelencyrtus odonaspidis",2
"Maui","Maui_01","Aedes albopictus",8
"Maui","Maui_01","Agrotis tephrias",4
"Maui","Maui_01","Aleurothrixus floccosus",6
"Maui","Maui_01","Amblyseius largoensis",10
"Maui","Maui_01","Anax strenuus",2
"Maui","Maui_01","Anisolabis eteronoma",1
"Maui","Maui_01","Aphidius obscuripes",5
"Maui","Maui_01","Araecerus fasciculatus",2
"Maui","Maui_01","Araecerus vieillardi",1
"Maui","Maui_01","Atelothrus limbatus",3
"Maui","Maui_01","Athesapeuta cyperi",8
"Maui","Maui_01","Atheta coriaria",1
"Maui","Maui_01","Athetis thoracica",2
"Maui","Maui_01","Balclutha timberlakei",10
"Maui","Maui_01","Barypristus incendiarius",5
"Maui","Maui_01","Batrachedrodes supercincta",5
"Maui","Maui_01","Brontolaemus currax mauiensis",4
"Maui","Maui_01","Buenoa pallipes",11
"Maui","Maui_01","Campsicnemus ephydrus",1
"Maui","Maui_01","Campsicnemus macula",5
"Maui","Maui_01","Campsicnemus philohydratus",3
"Maui","Maui_01","Canaceoides angulatus",5
"Maui","Maui_01","Cardiocondyla wroughtonii",7
"Maui","Maui_01","Carpophilus maculatus",4
"Maui","Maui_01","Carposina mauii",11
"Maui","Maui_01","Carposina mauiii",1
"Maui","Maui_01","Caryedon serratus",2
"Maui","Maui_01","Cephalops titanus",9
"Maui","Maui_01","Cheiracanthium diversum",6
"Maui","Maui_01","Chlorococcus straussiae",3
"Maui","Maui_01","Circulifer tenellus",3
"Maui","Maui_01","Cis immaturus",7
"Maui","Maui_01","Colpodiscus lucipetens",3
"Maui","Maui_01","Cremastus flavoorbitalis",5
"Maui","Maui_01","Cydia plicata",4
"Maui","Maui_01","Diestota occidentalis",5
"Maui","Maui_01","Drosophila disticha",2
"Maui","Maui_01","Drosophila kikkawai",13
"Maui","Maui_01","Drosophila lemniscata",2
"Maui","Maui_01","Drosophila mediana",3
"Maui","Maui_01","Drosophila spectabilis",2
"Maui","Maui_01","Drosophila truncipenna",3
"Maui","Maui_01","Drosophila virilis",4
"Maui","Maui_01","Dyscritomyia grimshawi",4
"Maui","Maui_01","Emperoptera zimmermani",4
"Maui","Maui_01","Entomobrya albocincta",4
"Maui","Maui_01","Ephydra millbrae",12
"Maui","Maui_01","Eupetinus laevigatus",2
"Maui","Maui_01","Eupetinus latimargo",4
"Maui","Maui_01","Eurynogaster spiniger",3
"Maui","Maui_01","Eurynogaster variabilis",4
"Maui","Maui_01","Fannia canicularis",10
"Maui","Maui_01","Forcipomyia hardyi",5
"Maui","Maui_01","Forcipomyia ingrami",1
"Maui","Maui_01","Fornax longicornis",11
"Maui","Maui_01","Gymnochiromyia hawaiiensis",4
"Maui","Maui_01","Heterocrossa atronotata",2
"Maui","Maui_01","Hierodula patellifera",3
"Maui","Maui_01","Hofmannophila pseudospretella",5
"Maui","Maui_01","Hylaeus facilis",15
"Maui","Maui_01","Hyposmocoma bitincta",5
"Maui","Maui_01","Hyposmocoma diffusa",3
"Maui","Maui_01","Hyposmocoma scepticella",2
"Maui","Maui_01","Leialoha mauiensis",13
"Maui","Maui_01","Leucania striata",16
"Maui","Maui_01","Liancalus metallicus",6
"Maui","Maui_01","Lispinodes mauiensis",6
"Maui","Maui_01","Lispocephala ascita",3
"Maui","Maui_01","Lispocephala deceptiva",3
"Maui","Maui_01","Lispocephala pollinosa",2
"Maui","Maui_01","Lispocephala subseminigra",3
"Maui","Maui_01","Lispocephala xanthopleura",6
"Maui","Maui_01","Macrosiphum solanifolii",2
"Maui","Maui_01","Mecaphesa hiatus",2
"Maui","Maui_01","Mecyclothorax rusticus",5
"Maui","Maui_01","Mecyclothorax unctus",2
"Maui","Maui_01","Metaphycus lounsburyi",7
"Maui","Maui_01","Myllaena vicina",1
"Maui","Maui_01","Nabis koelensis",2
"Maui","Maui_01","Neoclytarlus railliardiae",1
"Maui","Maui_01","Neoscatella hawaiiensis",2
"Maui","Maui_01","Neseis ampliata",3
"Maui","Maui_01","Neseis haleakalae",2
"Maui","Maui_01","Nesiomiris cheliferus",4
"Maui","Maui_01","Nesomicromus brunnescens",12
"Maui","Maui_01","Nesosydne blackburni",6
"Maui","Maui_01","Nysius beardsleyi",5
"Maui","Maui_01","Nysius kinbergi",1
"Maui","Maui_01","Nysius longicollis",2
"Maui","Maui_01","Odynerus erythrostactes",2
"Maui","Maui_01","Odynerus nigripennis",4
"Maui","Maui_01","Oeobia heterodoxa",1
"Maui","Maui_01","Oligota glabra",1
"Maui","Maui_01","Omiodes blackburni",2
"Maui","Maui_01","Orthezia insignis",3
"Maui","Maui_01","Pachodynerus nasidens",2
"Maui","Maui_01","Pagiopalus atomarius",6
"Maui","Maui_01","Pararrhaptica perkinsana",9
"Maui","Maui_01","Pectinophora gossypiella",8
"Maui","Maui_01","Pentamerismus oregonensis",8
"Maui","Maui_01","Phaeogramma vittipennis",3
"Maui","Maui_01","Phenacoccus madeirensis",9
"Maui","Maui_01","Philodoria dubauticola",9
"Maui","Maui_01","Phlyctaenia liopis",1
"Maui","Maui_01","Plagithmysus medeirosi",4
"Maui","Maui_01","Plagithmysus simillimus",3
"Maui","Maui_01","Plagithmysus smilacis",6
"Maui","Maui_01","Prognathogryllus kukui",5
"Maui","Maui_01","Proterhinus comes",3
"Maui","Maui_01","Proterhinus haleakalae",16
"Maui","Maui_01","Proterhinus ruficollis",5
"Maui","Maui_01","Proterhinus tuberculiceps",3
"Maui","Maui_01","Psallus luteus",1
"Maui","Maui_01","Remaudiereana nigriceps",5
"Maui","Maui_01","Scaptomyza exigua",3
"Maui","Maui_01","Scaptomyza nasalis",3
"Maui","Maui_01","Scaptomyza pallifrons",10
"Maui","Maui_01","Scatella femoralis",2
"Maui","Maui_01","Scotorythra brunnea",3
"Maui","Maui_01","Sierola mauiensis",2
"Maui","Maui_01","Sigmatineurum nigrum",1
"Maui","Maui_01","Sinella kukae",2
"Maui","Maui_01","Stoeberhinus testaceus",4
"Maui","Maui_01","Syntormon distortitarsis",3
"Maui","Maui_01","Tetragnatha acuta",3
"Maui","Maui_01","Tetragnatha hawaiensis",3
"Maui","Maui_01","Tetragnatha macracantha",4
"Maui","Maui_01","Tetragnatha quasimodo",2
"Maui","Maui_01","Tetramorium tonganum",2
"Maui","Maui_01","Trigonidium pseudokua",2
"Maui","Maui_01","Trigonidium wahoi",6
"Maui","Maui_01","Udea heterodoxa",7
"Maui","Maui_01","Vanessa tameamea",1
"Maui","Maui_01","Vespula pensylvanica",10
"Maui","Maui_01","Xyleborinus saxeseni",1
